"Rank (by # of IAS, highest to lowest)",Country name,"Country land area A (km2)(excluding inland water bodies)(World Bank, 2014)",Sovereign state,UNEP (2012) GEO region,UNEP (2012) GEO Subregion,ISO3 ISO(2016),SInv (# IAS in country),SNat (# species native in country but invasive elsewhere),"IAS asymmetry index, K",NIT (# international treaties),"SInv / A 
(# species km-2)",Maximum legislation/regulation Relevance Score in country
219,Mali," 1,220,190 ",Mali,Africa,Western Africa,MLI,5,47,-5.1,15,4.1E-06,2
154,Malta, 320 ,Malta,Europe,Western Europe,MLT,16,22,-1.8,17,5.0E-02,4
52,Marshall Islands, 180 ,Marshall Islands,Asia + Pacific,South Pacific,MHL,64,6,4.7,8,3.6E-01,0
101,Martinique," 1,128 ",France,Latin America + Caribbean,Caribbean,MTQ,32,58,-2.5,30,2.8E-02,0
220,Mauritania," 1,030,700 ",Mauritania,Africa,Western Africa,MRT,5,33,-4.8,13,4.9E-06,0
20,Mauritius," 2,030 ",Mauritius,Africa,Western Indian Ocean,MUS,99,32,2.4,16,4.9E-02,2
53,Mayotte, 974 ,France,Africa,Western Indian Ocean,MYT,63,6,4.7,30,6.5E-02,0
13,Mexico," 1,943,950 ",Mexico,Latin America + Caribbean,Meso America,MEX,143,218,-2.0,13,7.4E-05,2
18,"Micronesia, Federated States of (FSM)", 700 ,Micronesia (Federated States of),Asia + Pacific,South Pacific,FSM,110,27,3.0,5,1.6E-01,0
172,"Moldova, Republic of"," 32,860 ",Moldova,Europe,Eastern Europe,MDA,12,104,-5.0,14,3.7E-04,0
230,Monaco, 2 ,Monaco,Europe,Western Europe,MCO,4,16,-4.1,14,2.0E+00,0
238,Mongolia," 1,553,560 ",Mongolia,Asia + Pacific,North East Asia,MNG,3,59,-5.6,13,1.9E-06,0
237,Montenegro," 13,452 ",Montenegro,Europe,Central Europe,MNE,3,37,-5.3,16,2.2E-04,0
147,Montserrat, 102 ,United Kingdom of Great Britain and Northern Ireland,Latin America + Caribbean,Caribbean,MSR,17,37,-2.9,24,1.7E-01,0
116,Morocco," 446,300 ",Morocco,Africa,Northern Africa,MAR,26,130,-4.4,18,5.8E-05,0
122,Mozambique," 786,380 ",Mozambique,Africa,Southern Africa,MOZ,24,76,-3.7,15,3.1E-05,4
121,Myanmar (Burma)," 653,290 ",Myanmar,Asia + Pacific,South East Asia,MMR,24,145,-4.7,9,3.7E-05,2
114,Namibia," 823,290 ",Namibia,Africa,Southern Africa,NAM,27,45,-2.3,13,3.3E-05,2
99,Nauru, 21 ,Nauru,Asia + Pacific,South Pacific,NRU,33,3,4.7,6,1.6E+00,0
155,Nepal," 143,350 ",Nepal,Asia + Pacific,South Asia,NPL,16,116,-4.9,9,1.1E-04,0
26,Netherlands," 33,720 ",Netherlands,Europe,Western Europe,NLD,92,134,-1.9,24,2.7E-03,4
176,Netherlands Antilles, 999 ,Netherlands,Latin America + Caribbean,Caribbean,ANT,11,34,-3.7,24,1.1E-02,0
7,New Caledonia (Nouvelle Caledonie)," 18,280 ",France,Asia + Pacific,South Pacific,NCL,183,31,3.8,30,1.0E-02,4
2,New Zealand," 263,310 ",New Zealand,Asia + Pacific,Australia + New Zealand,NZL,329,25,4.9,16,1.2E-03,3
137,Nicaragua," 120,340 ",Nicaragua,Latin America + Caribbean,Meso America,NIC,19,118,-4.7,10,1.6E-04,0
221,Niger," 1,266,700 ",Niger,Africa,Western Africa,NER,5,42,-5.0,16,3.9E-06,0
108,Nigeria," 910,770 ",Nigeria,Africa,Western Africa,NGA,28,84,-3.6,17,3.1E-05,0
39,Niue, 260 ,New Zealand,Asia + Pacific,South Pacific,NIU,81,9,4.5,5,3.1E-01,2
54,Norfolk Island, 36 ,Australia,Asia + Pacific,South Pacific,NFK,62,10,3.9,18,1.7E+00,0
47,Northern Mariana Islands, 460 ,United States of America,Asia + Pacific,South Pacific,MNP,73,16,3.3,15,1.6E-01,0
77,Norway," 365,268 ",Norway,Europe,Western Europe,NOR,45,113,-3.2,19,1.2E-04,3
214,Oman," 309,500 ",Oman,West Asia,Arabian Peninsula,OMN,6,36,-4.7,9,1.9E-05,0
109,Pakistan," 770,880 ",Pakistan,Asia + Pacific,South Asia,PAK,28,137,-4.4,15,3.6E-05,0
31,Palau, 460 ,Palau,Asia + Pacific,South Pacific,PLW,89,23,2.9,12,1.9E-01,0
242,"Palestinian Territory, Occupied"," 6,020 ",State of Palestine,West Asia,Mashriq,PSE,1,2,-2.7,0,1.7E-04,0
89,Panama," 74,340 ",Panama,Latin America + Caribbean,Meso America,PAN,40,117,-3.5,15,5.4E-04,4
32,Papua New Guinea," 452,860 ",Papua New Guinea,Asia + Pacific,South Pacific,PNG,86,93,-1.1,12,1.9E-04,0
110,Paraguay," 397,300 ",Paraguay,Latin America + Caribbean,South America,PRY,28,116,-4.2,12,7.0E-05,4
78,Peru," 1,280,000 ",Peru,Latin America + Caribbean,South America,PER,45,134,-3.6,13,3.5E-05,3
36,Philippines," 298,170 ",Philippines,Asia + Pacific,South East Asia,PHL,83,132,-2.1,13,2.8E-04,3
115,Pitcairn, 47 ,United Kingdom of Great Britain and Northern Ireland,Asia + Pacific,South Pacific,PCN,27,2,4.9,24,5.7E-01,0
44,Poland," 306,220 ",Poland,Europe,Central Europe,POL,76,149,-2.7,20,2.5E-04,4
45,Portugal," 91,590 ",Portugal,Europe,Western Europe,PRT,75,149,-2.7,19,8.2E-04,4
11,Puerto Rico," 8,870 ",United States of America,Latin America + Caribbean,Caribbean,PRI,162,81,1.2,15,1.8E-02,0
243,Qatar," 11,586 ",Qatar,West Asia,Arabian Peninsula,QAT,1,10,-5.2,9,8.6E-05,1
105,Republic of Haiti," 27,560 ",Haiti,Latin America + Caribbean,Caribbean,HTI,30,62,-2.8,7,1.1E-03,0
8,Reunion (La Reunion)," 2,511 ",France,Africa,Western Indian Ocean,REU,173,25,4.1,30,6.9E-02,0
90,Romania," 230,020 ",Romania,Europe,Central Europe,ROU,40,162,-4.1,20,1.7E-04,4
82,Russian Federation," 16,376,870 ",Russian Federation,Europe,Eastern Europe,RUS,43,174,-4.1,16,2.6E-06,2
157,Rwanda," 24,670 ",Rwanda,Africa,Eastern Africa,RWA,15,39,-3.3,14,6.1E-04,0
233,Saint Barthelemy (Saint Barthélemy), 21 ,France,Latin America + Caribbean,Caribbean,BLM,3,7,-3.1,30,1.4E-01,0
59,Saint Helena," 27,986 ",United Kingdom of Great Britain and Northern Ireland,Africa,Southern Africa,SHN,60,5,4.8,24,2.1E-03,0
170,Saint Kitts and Nevis, 260 ,Saint Kitts and Nevis,Latin America + Caribbean,Caribbean,KNA,12,33,-3.4,9,4.6E-02,0
38,Saint Lucia, 610 ,Saint Lucia,Latin America + Caribbean,Caribbean,LCA,81,51,0.5,10,1.3E-01,0
236,Saint Martin (France), 54 ,France,Latin America + Caribbean,Caribbean,MAF,3,1,2.3,30,5.5E-02,0
195,Saint Pierre and Miquelon, 242 ,France,North America,North America,SPM,9,8,-0.5,30,3.7E-02,0
161,Saint Vincent and the Grenadines, 390 ,Saint Vincent and the Grenadines,Latin America + Caribbean,Caribbean,VCT,14,50,-3.9,9,3.6E-02,0
24,Samoa," 2,830 ",Samoa,Asia + Pacific,South Pacific,WSM,98,16,3.9,13,3.5E-02,3
239,San Marino, 61 ,San Marino,Europe,Western Europe,SMR,3,10,-3.8,4,4.9E-02,0
189,Sao Tome and Principe, 960 ,Sao Tome and Principe,Africa,Central Africa,STP,10,18,-2.5,11,1.0E-02,0
173,Saudi Arabia," 2,149,690 ",Saudi Arabia,West Asia,Arabian Peninsula,SAU,12,58,-4.4,10,5.6E-06,0
134,Senegal," 192,530 ",Senegal,Africa,Western Africa,SEN,20,68,-3.8,16,1.0E-04,0
142,Serbia," 87,460 ",Serbia,Europe,Central Europe,SRB,18,86,-4.4,14,2.1E-04,0
79,Seychelles, 460 ,Seychelles,Africa,Western Indian Ocean,SYC,45,29,0.5,14,9.8E-02,3
187,Sierra Leone," 72,180 ",Sierra Leone,Africa,Western Africa,SLE,10,64,-4.7,12,1.4E-04,0
43,Singapore, 700 ,Singapore,Asia + Pacific,South East Asia,SGP,77,49,0.5,7,1.1E-01,0
231,Sint Maarten, 34 ,Netherlands,Latin America + Caribbean,Caribbean,SXM,4,6,-2.0,24,1.2E-01,0
106,Slovakia," 48,088 ",Slovakia,Europe,Central Europe,SVK,29,101,-3.9,17,6.0E-04,4
119,Slovenia," 20,140 ",Slovenia,Europe,Central Europe,SVN,25,89,-3.9,18,1.2E-03,4
66,Solomon Islands," 27,990 ",Solomon Islands,Asia + Pacific,South Pacific,SLB,52,51,-0.8,10,1.9E-03,0
188,Somalia," 627,340 ",Somalia,Africa,Eastern Africa,SOM,10,51,-4.5,11,1.6E-05,0
5,South Africa," 1,213,090 ",South Africa,Africa,Southern Africa,ZAF,208,100,1.3,21,1.7E-04,4
15,Spain," 498,800 ",Spain,Europe,Western Europe,ESP,126,183,-1.9,23,2.5E-04,4
65,Sri Lanka," 62,710 ",Sri Lanka,Asia + Pacific,South Asia,LKA,53,124,-3.1,12,8.5E-04,0
174,Sth. Georgia and Sth. Sandwich Iss (sub-Antarctic)," 3,903 ",Australia,Polar,Antarctic,SGS,12,3,3.0,24,3.1E-03,0
160,Sudan," 2,376,000 ",Sudan,Africa,Northern Africa,SDN,14,78,-4.6,14,5.9E-06,0
196,Suriname," 156,000 ",Suriname,Latin America + Caribbean,South America,SUR,9,77,-5.0,9,5.8E-05,0
93,Swaziland," 17,200 ",Swaziland,Africa,Southern Africa,SWZ,39,53,-1.7,15,2.3E-03,0
60,Sweden," 407,340 ",Sweden,Europe,Western Europe,SWE,60,121,-2.7,20,1.5E-04,4
46,Switzerland," 39,516 ",Switzerland,Europe,Western Europe,CHE,73,138,-2.6,16,1.8E-03,3
183,Syrian Arab Republic," 183,630 ",Syrian Arab Republic,West Asia,Mashriq,SYR,11,106,-5.1,14,6.0E-05,0
25,Taiwan," 35,980 ",China,Asia + Pacific,North East Asia,TWN,93,169,-2.5,14,2.6E-03,0
222,Tajikistan," 139,960 ",Tajikistan,Asia + Pacific,Central Asia,TJK,5,57,-5.3,9,3.6E-05,2
62,"Tanzania, United Republic of"," 885,800 ",United Republic of Tanzania,Africa,Southern Africa,TZA,60,105,-2.4,19,6.8E-05,0
61,Thailand," 510,890 ",Thailand,Asia + Pacific,South East Asia,THA,60,149,-3.2,11,1.2E-04,0
207,Timor-Leste (East Timor)," 14,870 ",Timor-Leste,Asia + Pacific,South East Asia,TLS,7,15,-2.9,4,4.7E-04,0
184,Togo," 54,390 ",Togo,Africa,Western Africa,TGO,11,62,-4.6,15,2.0E-04,0
175,Tokelau, 12 ,New Zealand,Asia + Pacific,South Pacific,TKL,12,2,3.8,16,1.0E+00,0
27,Tonga, 720 ,Tonga,Asia + Pacific,South Pacific,TON,91,17,3.6,8,1.3E-01,0
102,Trinidad and Tobago," 5,130 ",Trinidad and Tobago,Latin America + Caribbean,Caribbean,TTO,32,72,-3.0,11,6.2E-03,0
143,Tunisia," 155,360 ",Tunisia,Africa,Northern Africa,TUN,18,108,-4.7,19,1.2E-04,0
86,Turkey," 769,630 ",Turkey,Europe,Central Europe,TUR,41,193,-4.3,11,5.3E-05,0
190,Turkmenistan," 469,930 ",Turkmenistan,Asia + Pacific,Central Asia,TKM,10,67,-4.8,6,2.1E-05,1
156,Turks and Caicos Islands, 950 ,United Kingdom of Great Britain and Northern Ireland,Latin America + Caribbean,Caribbean,TCA,16,9,0.9,24,1.7E-02,0
197,Tuvalu, 30 ,Tuvalu,Asia + Pacific,South Pacific,TUV,9,2,3.3,6,3.0E-01,1
80,Uganda," 199,810 ",Uganda,Africa,Eastern Africa,UGA,44,89,-2.7,16,2.2E-04,2
95,Ukraine," 579,320 ",Ukraine,Europe,Eastern Europe,UKR,37,167,-4.3,17,6.4E-05,3
177,United Arab Emirates," 83,600 ",United Arab Emirates,West Asia,Arabian Peninsula,ARE,11,15,-1.7,8,1.3E-04,0
14,United Kingdom (UK)," 241,930 ",United Kingdom of Great Britain and Northern Ireland,Europe,Western Europe,GBR,131,142,-1.1,24,5.4E-04,4
1,United States (USA)," 9,147,420 ",United States of America,North America,North America,USA,523,123,3.1,15,5.7E-05,3
91,United States Minor Outlying Islands, 32 ,United States of America,Asia + Pacific,South Pacific,UMI,40,1,5.6,15,1.2E+00,0
83,Uruguay," 175,020 ",Uruguay,Latin America + Caribbean,South America,URY,43,96,-3.0,14,2.5E-04,2
198,Uzbekistan," 425,400 ",Uzbekistan,Asia + Pacific,Central Asia,UZB,9,72,-5.0,10,2.1E-05,0
71,Vanuatu," 12,190 ",Vanuatu,Asia + Pacific,South Pacific,VUT,47,18,1.9,8,3.9E-03,0
87,Venezuela," 882,050 ","Venezuela, Bolivarian Republic of",Latin America + Caribbean,South America,VEN,41,134,-3.8,10,4.6E-05,3
84,Viet Nam (Vietnam)," 310,070 ",Viet Nam,Asia + Pacific,South East Asia,VNM,43,157,-4.0,10,1.4E-04,2
28,"Virgin Islands, USA", 350 ,United States of America,Latin America + Caribbean,Caribbean,VIR,91,50,0.9,15,2.6E-01,0
72,Wallis and Futuna, 142 ,France,Asia + Pacific,South Pacific,WLF,47,6,4.3,30,3.3E-01,0
165,Yemen," 527,970 ",Yemen,West Asia,Arabian Peninsula,YEM,13,48,-4.0,12,2.5E-05,0
