code,net_give_take,trade_give_take,trade_pc,spp_pc,Continent
TCA,-23.50154138,-6168.079,0.558558559,0.657657658,NAm
TCD,-4.194588814,-2190317.792,0.31981982,0.779279279,AS
TGO,-92.52455922,8852503.747,0.837837838,0.572072072,AF
THA,324.0514494,70076028.19,0.941441441,0.954954955,AS
TJK,-25.99135464,-181673.211,0.40990991,0.644144144,AS
TKM,-290.9769325,-26263489.24,0.135135135,0.265765766,AS
TLS,-15.10002636,730164.336,0.698198198,0.707207207,AS
TON,-0.278918505,-6518.789,0.554054054,0.873873874,OC
TTO,-293.8290425,-29994721.28,0.126126126,0.247747748,NAm
TUN,-283.3106513,-10170642.75,0.189189189,0.283783784,AF
TUR,-1785.284449,96869885.19,0.95045045,0.027027027,EUR
TZA,-861.1055068,7813716.423,0.828828829,0.085585586,AF
UGA,-638.1558179,1962354.126,0.743243243,0.108108108,AF
UKR,-391.8748717,-64748055.32,0.081081081,0.18018018,EUR
URY,-1618.935233,132552.039,0.666666667,0.045045045,SA
USA,334647.2756,46875450.87,0.923423423,1,NAm
UZB,-207.0564906,-8027406.364,0.225225225,0.373873874,AS
VCT,-282.601464,-37876.435,0.513513514,0.297297297,NAm
VEN,-349.0627788,-38822603.03,0.112612613,0.202702703,SA
VGB,-4.55674993,-16661.933,0.540540541,0.77027027,OC
VIR,-263.7713852,0,0.603603604,0.328828829,NAm
VNM,332.1494531,95479371.92,0.945945946,0.959459459,AS
VUT,-0.278918505,-47102.696,0.5,0.873873874,OC
WSM,-0.610619475,-22966.509,0.522522523,0.86036036,OC
YEM,-162.3209125,-2330577.809,0.310810811,0.423423423,AS
ZAF,1964.381718,-26641846.07,0.130630631,0.986486486,AF
ZMB,-137.49256,-155684.55,0.418918919,0.45045045,AF
ZWE,-1317.07568,500505.9,0.689189189,0.054054054,AF
