Common_Nm,Species,Class,Top 30 worst,Doublechecker,Notes (include refs where applicable),Reference in Appendix,Double check completed? ,Disease Agent (to remove),Domesticated (to set as diverse),Continents,Countries
Prickly acacia,Acacia nilotica,Tracheophyta,,Desika,[CABI],,1,,,AS;AF,Algeria;Bangladesh;India;Iran;Pakistan;Syria;Burkina Faso;Chad;Djibouti;Egypt;Eritrea;Ethiopia;Kenya;Libya;Mali;Mauritania;Niger;Somalia;Sudan;Oman;Saudi Arabia;United Arab Emirates;Yemen;Tanzania;Cameroon;C√¥te d‚ÄôIvoire;Gambia;Ghana;Guinea;Guinea-Bissau;Nigeria;Senegal;Togo;Uganda;Cape Verde;Mozambique;Namibia;South Africa;Zambia;Angola;Botswana;Malawi;Zimbabwe;Eswatini;Lesotho
Port Jackson Willow,Acacia saligna,Tracheophyta,,Desika,[GISD],,1,,,OC,Australia
bear's breech,Acanthus mollis,Tracheophyta,,Desika,Removed SA [GISD] ,,1,,,AF;EUR;AS,Algeria;Ex-Yugoslavia;France;Italy;Malta;Morocco;Spain;Syrian Arab Republic;Tunisia;Turkey
Boxelder maple,Acer negundo,Tracheophyta,,Desika,Removed EUR [www.plantsoftheworldonline.org],,1,,,NAm,"Alabama, Arizona, Illinois, Kentucky, Missouri, New York, Tennessee, Vermont"
,Aloe microstigma,Tracheophyta,,Desika,[www.plantsoftheworldonline.org],,1,,,AF,Namibia;South Africa
Yellow crazy ant,Anoplolepis gracilipes,Arthropoda,,Desika,[CABI],,1,,,AS,Cambodia;China;India;Myanmar (Burma);Sri Lanka;Thailand;Vietnam;Indonesia;Malaysia;Philippines;Brunei;Singapore
Madeira-vine,Anredera cordifolia,Tracheophyta,,Desika,Removed NAm [www.plantsoftheworldonline.org],,1,,,SA,"Argentina, Bolivia, Brazil, Colombia, Ecuador, Paraguay, Peru, Uruguay, Venezuela"
,Austrocylindropuntia subulata,Tracheophyta,,Desika,[www.plantsoftheworldonline.org],,1,,,SA,"Bolivia, Colombia, Peru"
,Austropuccinia psidii,Basidiomycota,,Desika,Plant Fungal Pathogen [CABI],,1,,,SA,Brazil;Uruguay
禽流感,Avian influenza,Orthornavirae,,Desika,Virus - to remove,,1,1,,AS,Malaysia
Paragrass,Brachiaria mutica,Tracheophyta,,Desika,[www.plantsoftheworldonline.org],,1,,,AS;AF,"Algeria, Angola, Benin, Burkina, Cameroon, Chad, Congo, Egypt, Gabon, Gambia, Ghana, Gulf of Guinea Is., Ivory Coast, Lebanon-Syria, Liberia, Mali, Mauritania, Morocco, Niger, Nigeria, Palestine, Senegal, Sierra Leone, Sinai, Sudan, Togo, Tunisia, Yemen, Zaïre"
kikuyu grass,Cenchrus clandestinus,Tracheophyta,,Desika,[www.plantsoftheworldonline.org],,1,,,AF,"Burundi, Eritrea, Ethiopia, Kenya, Malawi, Rwanda, Tanzania, Uganda, Zaïre, Zimbabwe"
,Cenchrus longisetus,Tracheophyta,,Desika,Removed EUR [www.plantsoftheworldonline.org],,1,,,AS;AF,"Eritrea, Ethiopia, Saudi Arabia, Somalia, Yemen"
californian thistle,Cirsium arvense,Tracheophyta,,Desika,[www.plantsoftheworldonline.org],,1,,,EUR;AS;AF,"Afghanistan, Albania, Algeria, Altay, Amur, Assam, Austria, Azores, Baleares, Baltic States, Bangladesh, Belarus, Belgium, Bulgaria, Buryatiya, Central European Rus, China North-Central, China South-Central, China Southeast, Corse, Cyprus, Czechoslovakia, Denmark, East European Russia, Finland, France, Føroyar, Germany, Great Britain, Greece, Hungary, India, Inner Mongolia, Iran, Ireland, Italy, Kamchatka, Kazakhstan, Khabarovsk, Kirgizstan, Korea, Krasnoyarsk, Krym, Kuril Is., Lebanon-Syria, Magadan, Manchuria, Mongolia, Nepal, Netherlands, North Caucasus, North European Russi, Northwest European R, Norway, Pakistan, Palestine, Poland, Portugal, Primorye, Qinghai, Romania, Sakhalin, Sardegna, Sicilia, Sinai, South European Russi, Spain, Sweden, Switzerland, Tadzhikistan, Tibet, Transcaucasus, Turkey, Turkey-in-Europe, Turkmenistan, Tuva, Ukraine, Uzbekistan, West Himalaya, West Siberia, Xinjiang, Yugoslavia"
Box tree moth,Cydalima perspectalis,Arthropoda,,Desika,[CABI],,1,,,AS,China;South Korea
Cylindropuntia rosea,Cylindropuntia rosea,Tracheophyta,,Desika,[CABI],,1,,,NAm,Mexico
Root maggots,Delia spp.,Arthropoda,,Desika,"Originally recorded as native to EUR, but this range was only found for D. radicum. Since this is at the genus level and I cannot find a source for this level, I suggest we remove this record.",,1,,,Unknown,
Viborera,Echium vulgare,Tracheophyta,,Desika,Replaced NAm [www.plantsoftheworldonline.org],,1,,,EUR;AS,"Albania, Altay, Austria, Baltic States, Belarus, Belgium, Bulgaria, Central European Rus, Corse, Cyprus, Czechoslovakia, Denmark, East Aegean Is., East European Russia, Finland, France, Germany, Great Britain, Hungary, Ireland, Irkutsk, Italy, Kazakhstan, Kirgizstan, Krasnoyarsk, Krym, Netherlands, North Caucasus, Northwest European R, Norway, Poland, Portugal, Romania, Sardegna, Sicilia, South European Russi, Spain, Sweden, Switzerland, Tadzhikistan, Transcaucasus, Turkey, Turkey-in-Europe, Turkmenistan, Ukraine, Uzbekistan, West Siberia, Xinjiang, Yugoslavia"
Brazilian elodea,Egeria densa,Tracheophyta,,Desika,[www.plantsoftheworldonline.org],,1,,,SA,Argentina;Brazil;Uruguay
,Elaeagnus angustifolia,Tracheophyta,,Desika,Deleted NAm [CABI; www.plantsoftheworldonline.org],,1,,,EUR;AS,"Afghanistan, Altay, Assam, Central European Rus, China North-Central, China Southeast, East Aegean Is., East European Russia, Inner Mongolia, Iran, Kazakhstan, Kirgizstan, Lebanon-Syria, Manchuria, Mongolia, Myanmar, North Caucasus, Pakistan, Palestine, Qinghai, South European Russi, Tadzhikistan, Transcaucasus, Turkey, Turkmenistan, Ukraine, Uzbekistan, West Himalaya, West Siberia, Xinjiang"
Common freesia,Freesia refracta,Tracheophyta,,Desika,,,1,,,AF,South Africa
Fúndul,Fundulus heteroclitus,Chordata,,Desika,[FishBase],,1,,,NAm,United States; Canada
Cuban hemp,Furcraea hexapetala,Tracheophyta,,Desika,[www.plantsoftheworldonline.org],,1,,,SA;NAm,"Bahamas, Bermuda, Cayman Is., Cuba, Dominican Republic, Ecuador, Galápagos, Haiti, Jamaica, Mexico Southeast, Trinidad-Tobago, Turks-Caicos Is., Venezuela"
香蕉枯萎病,Fusarium oxysporum,Ascomycota,,Desika,Plant fungal pathogen [Replaced OC with AS according to country list - could not confirm the countries],,1,,,AS,Bangladesh;China;India;Laos;Myanmar (Burma);Sri Lanka;Thailand;Vietnam;Indonesia;Malaysia;Philippines;Brunei
Senegal tea plant,Gymnocoronis spilanthoides,Tracheophyta,,Desika,[CABI],,1,,,SA;NAm,Argentina;Bolivia;Brazil;Paraguay;Uruguay;Mexico;Peru
Hakeas,Hakea spp.,Tracheophyta,,Desika,Replaced SA;NAm with OC [www.plantsoftheworldonline.org],,1,,,OC,"New South Wales, Northern Territory, Queensland, South Australia, Tasmania, Victoria, Western Australia"
Sosnowsky's hogweed,Heracleum sosnowskyi,Tracheophyta,,Desika,Deleted EUR [www.plantsoftheworldonline.org] Transcaucasia & Turkey are transcontinental but placed in AS as agreed on,,1,,,AS,"North Caucasus, Transcaucasus, Turkey"
Green iguana,Iguana iguana,Chordata,,Desika,Deleted EUR [CABI] ,,1,,,SA;NAm,"Mexico;Paraguay;Brazil;Cozumel, San Andrés and Providencia, Roatán, Utila, Cayo Icacos, Trinidad and Tobago; Grenada, Saint Vincent and the Grenadines, Saint Lucia, Montserrat; Saba"
Peix sol,Lepomis gibbosus,Chordata,,Desika,[FishBase],,1,,,NAm,Canada;United States
Colorado potato beetle,Leptinotarsa decemlineata,Arthropoda,,Desika,Replaced AS with NAm [GBIF] ,,1,,,NAm,
Bitter vine,Mikania micrantha,Tracheophyta,,Desika,Deleted EUR [www.plantsoftheworldonline.org] Transcaucasia & Turkey are transcontinental but placed in AS as agreed on,,1,,,SA;NAm,"Argentina Northeast, Argentina Northwest, Belize, Bolivia, Brazil, Colombia, Costa Rica, Cuba, Dominican Republic, Ecuador, El Salvador, Florida, French Guiana, Guatemala, Guyana ,Haiti, Honduras, Jamaica, Leeward Is., Mexico, Nicaragua, Panama, Paraguay, Peru, Puerto Rico, Suriname, Trinidad-Tobago, Uruguay, Venezuela, Windward Is."
Ferret,Mustela furo,Chordata,,Desika,"Deleted NAm, added EUR [CABI]; domesticated form",,1,,1,AS;EUR,
Monk parakeet,Myiopsitta monachus,Chordata,,Desika,[https://animaldiversity.org/;GISD],,1,,,SA,Argentina;Bolivia;Brazil;Paraguay;Uruguay
Variable-leaf milfoil,Myriophyllum heterophyllum,Tracheophyta,,Desika,[www.plantsoftheworldonline.org],,1,,,NAm,"Alabama, Cuba, Guatemala, Illinois, Mexico Central, Mexico Gulf, Mexico Northeast, Mexico Southeast, Mexico Southwest, New York, Tennessee, Vermont"
Oenothera Biennis,Oenothera biennis,Tracheophyta,,Desika,[www.plantsoftheworldonline.org],,1,,,NAm,"Alabama, Illinois, Kentucky, Mexico Central, Mexico Northeast, New Brunswick, New York, Tennessee, Vermont, Virginia"
Parthenium,Parthenium hysterophorus,Tracheophyta,,Desika,Deleted EUR;OC [CABI; www.plantsoftheworldonline.org],,1,,,SA;NAm,"Argentina Northeast, Argentina Northwest, Argentina South, Aruba, Bahamas, Belize, Bolivia, Brazil North, Brazil Northeast, Brazil Southeast, Brazil West-Central, Cayman Is., Colombia, Costa Rica, Cuba, Ecuador, French Guiana, Guatemala, Guyana, Honduras, Jamaica, Leeward Is., Mexico Central, Mexico Gulf, Mexico Northeast, Mexico Northwest, Mexico Southeast, Mexico Southwest, Netherlands Antilles, Nicaragua, Panamá, Paraguay, Puerto Rico, Suriname, Trinidad-Tobago, Turks-Caicos Is., Uruguay, Venezuela, Venezuelan Antilles, Windward Is."
House sparrow,Passer domesticus,Chordata,,Desika,[CABI],,1,,,EUR;AS,India;Myanmar (Burma);Russia;United Kingdom
rose geranium,Pelargonium capitatum,Tracheophyta,,Desika,[www.plantsoftheworldonline.org],,1,,,AF,South Africa
Cassava mealybug,Phenacoccus manihoti,Arthropoda,,Desika,[CABI],,1,,,SA,Argentina;Bolivia;Brazil;Paraguay;Colombia
Canya,Phragmites australis,Tracheophyta,,Desika,[www.plantsoftheworldonline.org],,1,,,AF;AS;NAm;SA;EUR;OC,"Afghanistan, Alabama, Albania, Alberta, Algeria, Altay, Amur, Angola, Argentina Northeast, Argentina Northwest, Argentina South, Arizona, Arkansas, Austria, Baleares, Baltic States, Belarus, Belgium, Belize, Benin, Bolivia, Botswana, British Columbia, Bulgaria, Burkina, Buryatiya, California, Cameroon, Canary Is., Cape Provinces, Cape Verde, Central European Rus, Chad, Chile Central, Chile North, Chile South, China North-Central, China South-Central, China Southeast, Chita, Colombia, Colorado, Congo, Connecticut, Corse, Costa Rica, Cyprus, Czechoslovakia, Delaware, Denmark, District of Columbia, East Aegean Is., East European Russia, Ecuador, Egypt, El Salvador, Eritrea, Ethiopia, Finland, Florida, France, Free State, French Guiana, Gambia, Georgia, Germany, Great Britain, Greece, Guatemala, Guinea-Bissau, Gulf of Guinea Is., Gulf States, Guyana, Hainan, Honduras, Hungary, Idaho, Illinois, Indiana, Inner Mongolia, Iowa, Iran, Iraq, Ireland, Irkutsk, Italy, Japan, Kamchatka, Kansas, Kazakhstan, Kentucky, Kenya, Khabarovsk, Kirgizstan, Korea, Krasnoyarsk, Kriti, Krym, Kuril Is., Kuwait, KwaZulu-Natal, Lebanon-Syria, Lesotho, Libya, Louisiana, Madeira, Maine, Malaya, Manchuria, Manitoba, Maryland, Massachusetts, Mauritania, Mexico Central, Mexico Gulf, Mexico Northeast, Mexico Northwest, Mexico Southeast, Mexico Southwest, Michigan, Minnesota, Mississippi, Missouri, Mongolia, Montana, Morocco, Mozambique, Namibia, Nansei-shoto, Nebraska, Nepal, Netherlands, Nevada, New Brunswick, New Hampshire, New Jersey, New Mexico, New South Wales, New York, Newfoundland, Nicaragua, Niger, Nigeria, Norfolk Is., North Carolina, North Caucasus, North Dakota, North European Russi, Northern Provinces, Northern Territory, Northwest European R, Northwest Territorie, Norway, Nova Scotia, Ohio, Oklahoma, Oman, Ontario, Oregon, Pakistan, Palestine, Panamá, Pennsylvania, Peru, Poland, Portugal, Primorye, Prince Edward I., Qinghai, Queensland, Québec, Rhode I., Romania, Sakhalin, Sardegna, Saskatchewan, Saudi Arabia, Senegal, Sicilia, Sinai, Somalia, South Australia, South Carolina, South Dakota, South European Russi, Spain, Sudan, Suriname, Swaziland, Sweden, Switzerland, Tadzhikistan, Tasmania, Tennessee, Texas, Tibet, Transcaucasus, Tunisia, Turkey, Turkey-in-Europe, Turkmenistan, Tuva, Ukraine, Uruguay, Utah, Uzbekistan, Venezuela, Vermont, Victoria, Vietnam, Virginia, Washington, West Himalaya, West Siberia, West Virginia, Western Australia, Western Sahara, Wisconsin, Wyoming, Xinjiang, Yakutskiya, Yemen, Yugoslavia, Zambia, ZimbabweGuiana;Guyana;Peru;Suriname;Venezuela;Cameroon;Gambia;Nigeria;Senegal;Dominican Republic;Guadeloupe;Haiti;Jamaica;Martinique;St. Lucia;Bahamas;Cape Verde;Mozambique;Namibia;South Africa;Zambia;Cyprus;Botswana;Zimbabwe;Eswatini;Philippines;Lesotho;Madagascar"
water lettuce,Pistia stratiotes,Tracheophyta,,Desika,Added NAm;AF;AS;OC [www.plantsoftheworldonline.org],,1,,,SA;NAm;AF;AS;OC,"Afghanistan, Andaman Is., Angola, Argentina Northeast, Assam, Bangladesh, Belize, Benin, Bolivia, Borneo, Botswana, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast, Brazil West-Central, Burkina, Burundi, Cabinda, Cambodia, Cameroon, Cape Provinces, Caprivi Strip, Central African Repu, Chad, China South-Central, China Southeast, Colombia, Comoros, Congo, Costa Rica, Cuba, Dominican Republic, East Himalaya, Ecuador, Egypt, El Salvador, Equatorial Guinea, Ethiopia, Florida, Free State, French Guiana, Gabon, Galápagos, Gambia, Ghana, Guatemala, Guinea, Guinea-Bissau, Gulf of Guinea Is., Guyana, Hainan, Haiti, Honduras, India, Ivory Coast, Jamaica, Jawa, Kenya, KwaZulu-Natal, Laccadive Is., Laos, Leeward Is., Lesotho, Liberia, Louisiana, Madagascar, Malawi, Malaya, Maldives, Mali, Maluku, Mauritania, Mauritius, Mexican Pacific Is., Mexico Central, Mexico Gulf, Mexico Northeast, Mexico Northwest, Mexico Southeast, Mexico Southwest, Mississippi, Mozambique, Myanmar, Namibia, Nansei-shoto, Nepal, Netherlands Antilles, New Guinea, Nicaragua, Nicobar Is., Niger, Nigeria, Northern Provinces, Northern Territory, Pakistan, Panamá, Paraguay, Peru, Philippines, Puerto Rico, Queensland, Rwanda, Senegal, Sierra Leone, Somalia, South China Sea, Sri Lanka, Sudan, Sulawesi, Suriname, Swaziland, Taiwan, Tanzania, Texas, Thailand, Togo, Trinidad-Tobago, Uganda, Uruguay, Venezuela, Venezuelan Antilles, Vietnam, West Himalaya, Windward Is., Zambia, Zaïre, Zimbabwe"
Mesquite,Prosopis spp.,Tracheophyta,,Desika,Added NAm;AF;AS [www.plantsoftheworldonline.org],,1,,,SA;NAm;AF;AS,"Afghanistan, Algeria, Argentina Northeast, Argentina Northwest, Argentina South, Arizona, Arkansas, Aruba, Bahamas, Benin, Bolivia, Brazil Northeast, Brazil South, Brazil West-Central, Burkina, California, Cameroon, Central African Repu, Chad, Chile Central, Chile North, Colombia, Colorado, Congo, Costa Rica, Cuba, Cyprus, Dominican Republic, Ecuador, Egypt, El Salvador, Galápagos, Gambia, Ghana, Guatemala, Guinea, Guinea-Bissau, Gulf States, Haiti, Honduras, India, Iran, Iraq, Ivory Coast, Kansas, Kazakhstan, Kirgizstan, Lebanon-Syria, Leeward Is., Mali, Mauritania, Mexico Central, Mexico Gulf, Mexico Northeast, Mexico Northwest, Mexico Southeast, Mexico Southwest, Netherlands Antilles, New Mexico, Nicaragua, Niger, Nigeria, Oman, Pakistan, Palestine, Panamá, Paraguay, Peru, Saudi Arabia, Senegal, Sierra Leone, Sinai, Sudan, Tadzhikistan, Texas, Togo, Transcaucasus, Tunisia, Turkey, Turkmenistan, Uganda, Uruguay, Utah, Uzbekistan, Venezuela, Venezuelan Antilles, Windward Is., Yemen, Zaïre"
,Pseudochattonella verruculosa,Ochrophyta,,Desika,Added NAm [CABI],,1,,,AS;NAm,Japan;Kyushu;Pacific Northwest
,Schinus terebinthifolia,Tracheophyta,,Desika,Deleted EUR [www.plantsoftheworldonline.org],,1,,,SA,"Argentina,Brazil,Paraguay"
Silur,Silurus glanis,Chordata,,Desika,[CABI],,1,,,EUR;AS,Afghanistan;Armenia;Azerbaijan;Georgia;Iran;Kazakhstan;Turkey;Turkmenistan;Uzbekistan;Albania;Austria;Belarus;Bulgaria;Czechia;Estonia;Germany;Greece;Hungary;Latvia;Lithuania;Moldova;Montenegro;Poland;Romania;Russia;Slovakia;Slovenia;Switzerland;Ukraine;Serbia;Sweden
Sacred Ibis,Threskiornis aethiopicus,Chordata,,Desika,[CABI],,1,,,AS;AF,Iraq;Burkina Faso;Chad;Djibouti;Eritrea;Ethiopia;Kenya;Somalia;Sudan;Kuwait;Tanzania;Benin;Cameroon;C√¥te d‚ÄôIvoire;Gambia;Ghana;Guinea;Guinea-Bissau;Nigeria;Senegal;Togo;Uganda;Congo - Kinshasa;Gabon;Liberia;Mozambique;Seychelles;South Africa;Zambia;Angola;Botswana;Burundi;Congo - Brazzaville;Malawi;Sierra Leone;Zimbabwe;Equatorial Guinea;Eswatini;Lesotho;Madagascar;Rwanda;Central African Republic
Tree marigold,Tithonia diversifolia,Tracheophyta,,Desika,[CABI],,1,,,NAm,Mexico;Belize;Costa Rica;El Salvador;Guatemala;Honduras;Nicaragua;Panama
,Typha angustifolia,Tracheophyta,,Desika,[CABI],,1,,,AF;AS;EUR;NAm,Algeria;China;Georgia;Kazakhstan;Syria;Taiwan;Tajikistan;Uzbekistan;Albania;Belarus;Estonia;Finland;France;Italy;Latvia;Lithuania;Montenegro;Portugal;Russia;Spain;Switzerland;Ukraine;Serbia;Ireland;Canada;United States
Common myna,Acridotheres tristis,Chordata,,Elza,AS only: https://www.cabi.org/isc/datasheet/2994,,1,,,AS,Afghanistan;Bangladesh;Bhutan;Cambodia;China;India;Iran;Kazakhstan;Laos;Lebanon;Myanmar (Burma);Nepal;Pakistan;Sri Lanka;Tajikistan;Thailand;Turkmenistan;Uzbekistan;Vietnam;Malaysia;Egypt
Balsam wooly adelgid,Adelges piceae,Arthropoda,,Elza,EUR only: up to Turkey; https://www.cabi.org/isc/datasheet/3268,,1,,,EUR,Turkey;Albania;Austria;Bosnia & Herzegovina;Bulgaria;France;Germany;Greece;Italy;Montenegro;North Macedonia;Romania;Switzerland;Serbia
Hemlock woolly adelgid,Adelges tsugae,Arthropoda,,Elza,AS only: China and Japan; https://www.cabi.org/isc/datasheet/3270,,1,,,AS,China;Japan
Aloe,Aloe arborescens,Tracheophyta,,Elza,Correct,,1,,,AF,Mozambique;South Africa;Botswana;Malawi;Zimbabwe;Eswatini
Green anole,Anolis carolinensis,Chordata,,Elza,"Nam only: southern United States; Stuart, Y. E., Campbell, T. S., Hohenlohe, P. A., Reynolds, R. G., Revell, L. J., & Losos, J. B. (2014). Rapid evolution of a native species following invasion by a congener. Science, 346(6208), 463-466. as experimental units.",,1,,,NAm,United States
Carolina fanwort,Cabomba caroliniana,Tracheophyta,,Elza,SA & Nam only: http://nas.er.usgs.gov/queries/greatlakes/FactSheet.aspx?SpeciesID=231&Potential=N&Type=0&HUCNumber=DGreatLakes,,1,,,SA;NAm,Georgia;Argentina;Brazil;Paraguay;Uruguay;United States
Mauritius thorn,Caesalpinia decapetala,Tracheophyta,,Elza,Correct,,1,,,AS,Bangladesh;Bhutan;Cambodia;China;India;Japan;Laos;Myanmar (Burma);Nepal;North Korea;Pakistan;South Korea;Sri Lanka;Taiwan;Thailand;Vietnam;Indonesia;Malaysia;Philippines;Hong Kong SAR China;Timor-Leste
少花蒺藜草,Cenchrus spinifex,Tracheophyta,,Elza,Nam only: publications only mention parts of the USA,,1,,,NAm,United States
Northen snakehead,Channa argus,Chordata,,Elza,Correct,,1,,,AS,China;North Korea;South Korea;Russia
Rush skeletonweed,Chondrilla juncea,Tracheophyta,,Elza,Correct,,1,,,EUR;AS;AF,Algeria;Morocco;Tunisia;Armenia;Azerbaijan;China;Georgia;Iran;Iraq;Jordan;Kazakhstan;Lebanon;Syria;Turkey;Turkmenistan;Albania;Andorra;Austria;Belarus;Belgium;Bosnia & Herzegovina;Bulgaria;Croatia;Czechia;France;Germany;Greece;Hungary;Italy;Luxembourg;Moldova;Montenegro;Netherlands;North Macedonia;Poland;Portugal;Romania;Russia;Slovakia;Slovenia;Spain;Switzerland;Ukraine;Serbia;Libya;Cyprus;Gibraltar
old man's beard,Clematis vitalba,Tracheophyta,,Elza,"EUR only: Bungard, R. A., Wingler, A., Morton, J. D., Andrews, M., Press, M. C., & Scholes, J. D. (1999). Ammonium can stimulate nitrate and nitrite reductase in the absence of nitrate in Clematis vitalba. Plant, Cell & Environment, 22: 859-866; Redmond, C. M., & Stout, J. C. (2018). Breeding system and pollination ecology of a potentially invasive alien Clematis vitalba L. in Ireland. Journal of Plant Ecology, 11: 56-63.",,1,,,EUR,Algeria;Afghanistan;Armenia;Azerbaijan;Georgia;Iran;Lebanon;Syria;Turkey;Albania;Austria;Belgium;Bulgaria;Czechia;France;Germany;Greece;Hungary;Italy;Montenegro;Netherlands;Portugal;Romania;Russia;Slovakia;Spain;Switzerland;Ukraine;Serbia;United Kingdom;Cyprus
Culicoides biting midge,Culicoides imicola,Arthropoda,,Elza,Correct,,1,,,AF;SA,
Carpa,Cyprinus carpio,Chordata,,Elza,Only EUR & AS: Ponto- caspian species; https://nas.er.usgs.gov/queries/factsheet.aspx?speciesID=4,,1,,,AS;EUR,Armenia;Azerbaijan;China;Georgia;Kazakhstan;Mongolia;Uzbekistan;Vietnam;Austria;Bosnia & Herzegovina;Bulgaria;Croatia;Czechia;Hungary;Moldova;Montenegro;North Macedonia;Romania;Russia;Slovakia;Slovenia;Ukraine;Serbia;Norway;United States;Liberia
Great spruce bark beetle,Dendroctonus micans,Arthropoda,,Elza,Correct,,1,,,EUR;AS,Russia
killer shrimp,Dikerogammarus villosus,Arthropoda,,Elza,Correct,,1,,,EUR;AS,Bulgaria;Moldova;Romania;Russia
Cats claw creeper,Dolichandra unguis-cati,Tracheophyta,,Elza,"Only SA and Nam, introduced and naturalized in EUR: https://www.cabi.org/isc/datasheet/9159",,1,,,SA;NAm,Netherlands;Argentina;Bolivia;Brazil;Paraguay;Uruguay;Mexico;Puerto Rico;Belize;Costa Rica;El Salvador;Guatemala;Honduras;Nicaragua;Panama;Trinidad & Tobago;Colombia;Ecuador;French Guiana;Guyana;Peru;Suriname;Venezuela;Grenada;Montserrat;St. Vincent & Grenadines;Antigua & Barbuda;British Virgin Islands;Dominica;Dominican Republic;Guadeloupe;Martinique;St. Lucia;U.S. Virgin Islands
red band needle blight,Dothistroma septosporum,Ascomycota,,Elza,Unknown origin; pathogen,,,,,,
Pale dewplant,Drosanthemum floribundum,Tracheophyta,,Elza,Correct,,1,,,AF,South Africa
oil palm,Elaeis guineensis,Tracheophyta,,Elza,Correct,,1,,,AF,Kenya;Uganda;Congo - Kinshasa;Malawi;Zimbabwe
Red-legged earth mite,Halotydeus destructor,Arthropoda,,Elza,"AF: Hill, M. P., Hoffmann, A. A., Macfadyen, S., Umina, P. A., & Elith, J. (2012). Understanding niche shifts: using current and historical data to model the invasive redlegged earth mite, Halotydeus destructor. Diversity and Distributions, 18: 191-203.",,1,,,AF,
Licorice-plant,Helichrysum petiolare,Tracheophyta,,Elza,Correct,,1,,,AF,South Africa;Zambia;Angola;Zimbabwe
Floating pennywort,Hydrocotyle ranunculoides,Tracheophyta,,Elza,Correct,,1,,,NAm,United States
,Impatiens glandulifera,Tracheophyta,,Elza,Correct,,1,,,AS,India;Nepal;Pakistan
,Lacerta bilineata,Chordata,,Elza,"EUR only: Mediterranean to Central Europe; Bruner, E., Costantini, D., Fanfani, A., & Dell’Omo, G. (2005). Morphological variation and sexual dimorphism of the cephalic scales in Lacerta bilineata. Acta zoologica, 86: 245-254.",,1,,,EUR,United States
California Kingsnake,Lampropeltis californiae,Chordata,,Elza,Correct,,1,,,NAm,United States;Mexico
trailing lantana,Lantana montevidensis,Tracheophyta,,Elza,Correct,,1,,,SA,
Barbary matrimony-vine,Lycium barbarum,Tracheophyta,,Elza,"AS: China; Leung, H., Hung, A., Hui, A. C. F., & Chan, T. Y. K. (2008). Warfarin overdose due to the possible effects of Lycium barbarum L. Food and chemical toxicology, 46: 1860-1862; Zhang, Q., Chen, W., Zhao, J., & Xi, W. (2016). Functional constituents and antioxidant activities of eight Chinese native goji genotypes. Food Chemistry, 200: 230-236.",,1,,,AS,United States
Mimosa,Mimosa pigra,Tracheophyta,,Elza,Correct,,1,,,SA;NAm,Argentina;Bolivia;Brazil;Chile;Paraguay;Uruguay;Mexico;Belize;Costa Rica;El Salvador;Guatemala;Honduras;Panama;Trinidad & Tobago;Colombia;Ecuador;French Guiana;Guyana;Peru;Suriname;Venezuela
水杉小爪螨,Oligonychus metasequoia,Arthropoda,,Elza,"AS: endemic to China; Li, J., Jin, D. C., & Yi, T. C. (2017). Ontogenetic development and redescription of Oligonychus metasequoiae (Acari: Tetranychidae). Systematic and Applied Acarology, 22: 1495-1520.",,1,,,AS,
Douglas-fir tussock moth,Orgyia pseudotsugata,Arthropoda,,Elza,"Nam only? Coleman, T. W., Jones, M. I., Courtial, B., Graves, A. D., Woods, M., Roques, A., & Seybold, S. J. (2014). Impact of the first recorded outbreak of the Douglas-fir tussock moth, Orgyia pseudotsugata, in southern California and the extent of its distribution in the Pacific Southwest region. Forest ecology and management, 329: 295-305.",,1,,,NAm,Canada;United States
Taiwan beauty snake,Orthriophis taeniurus,Chordata,,Elza,"AS only?: Li, E., Sun, F., Zhang, R., Chen, J., & Wu, X. (2016). The complete mitochondrial genome of the striped-tailed rat-snake, Orthriophis taeniurus (Reptilia, Serpentes, Colubridae). Mitochondrial DNA Part A, 27: 599-600.",,1,,,AS,United States
Masked palm civet,Paguma larvata,Chordata,,Elza,Correct,,1,,,AS,Laos
common minnow,Phoxinus phoxinus,Chordata,,Elza,Correct,,1,,,EUR;AS,Armenia;Azerbaijan;China;Georgia;Kazakhstan;Mongolia;North Korea;South Korea;Turkey;Uzbekistan;Albania;Austria;Belarus;Belgium;Bosnia & Herzegovina;Bulgaria;Croatia;Czechia;Estonia;Finland;France;Germany;Greece;Hungary;Italy;Latvia;Liechtenstein;Lithuania;Luxembourg;Moldova;Montenegro;Netherlands;North Macedonia;Poland;Romania;Russia;Slovakia;Slovenia;Spain;Switzerland;Ukraine;Serbia;Denmark;Norway;Sweden;United Kingdom;Ireland
大豆疫霉,Phytophthora megasperma,Oomycota,,Elza,Unknown origin; pathogen,,,,,,
Australian laurel,Pittosporum tobira,Tracheophyta,,Elza,Correct,,1,,,AS,Japan;North Korea;Vietnam
Red swamp crayfish,Procambarus clarkii,Arthropoda,,Elza,Nam only: Gherardi F. (2006). Crayfish invading Europe: the case study of Procambarus clarkii. Marine and Freshwater Behaviour and Physiology. 39: 175-191,,1,,,NAm,United States;Mexico
Morrut de les palmeres,Rhynchophorus ferrugineus,Arthropoda,,Elza,Correct,,1,,,AS,
