"Scientific name","Common name","Coverage","URL",
"Haliotid herpesvirus 1","","Full","https://www.cabi.org/isc/datasheet/121526",
"Phyllactinia guttata","powdery mildew of hardwood trees","Full","https://www.cabi.org/isc/datasheet/40821",
"Prays citri","citrus flower moth","Full","https://www.cabi.org/isc/datasheet/43910",
"Pear blister canker viroid","","Full","https://www.cabi.org/isc/datasheet/43926",
"Phakopsora ampelopsidis","Ampelopsis rust fungus","Full","https://www.cabi.org/isc/datasheet/40850",
"Phyllachora maydis","black spot of maize","Full","https://www.cabi.org/isc/datasheet/40876",
"Lampropeltis californiae","","Full","https://www.cabi.org/isc/datasheet/120356",
"Cymbopogon nardus","citronella grass","Full","https://www.cabi.org/isc/datasheet/120396",
"Odontonema callistachyum","purple firespike","Full","https://www.cabi.org/isc/datasheet/120399",
"Puccinia horiana","white rust of chrysanthemum","Full","https://www.cabi.org/isc/datasheet/45806",
"Polistes chinensis antennalis","Asian paper wasp","Full","https://www.cabi.org/isc/datasheet/42745",
"Puccinia pittieriana","common rust of potato","Full","https://www.cabi.org/isc/datasheet/45847",
"Paratachardina pseudolobata","lobate lac scale","Full","https://www.cabi.org/isc/datasheet/45386",
"Rhodomyrtus tomentosa","Downy rose-myrtle","Full","https://www.cabi.org/isc/datasheet/47297",
"Ciborinia camelliae","flower blight","Full","https://www.cabi.org/isc/datasheet/49113",
"Brucella abortus","","Full","https://www.cabi.org/isc/datasheet/90736",
"Brucella suis","","Full","https://www.cabi.org/isc/datasheet/90738",
"Bubulcus ibis","cattle egret","Full","https://www.cabi.org/isc/datasheet/90783",
"Astacus astacus","European crayfish","Full","https://www.cabi.org/isc/datasheet/92629",
"Astacus leptodactylus","Danube crayfish","Full","https://www.cabi.org/isc/datasheet/92630",
"Bos bison","American bison","Full","https://www.cabi.org/isc/datasheet/91401",
"Xenohaliotis californiensis","","Full","https://www.cabi.org/isc/datasheet/90287",
"Anser indicus","bar-headed goose","Full","https://www.cabi.org/isc/datasheet/94089",
"Callisia repens","creeping inch-plant","Full","https://www.cabi.org/isc/datasheet/13501",
"Ceratitis cosyra","mango fruit fly","Full","https://www.cabi.org/isc/datasheet/12370",
"Neoceratitis cyanescens","tomato fruit fly","Full","https://www.cabi.org/isc/datasheet/12372",
"Cananga odorata","perfume tree","Full","https://www.cabi.org/isc/datasheet/11122",
"Ditylenchus africanus","peanut pod nematode","Full","https://www.cabi.org/isc/datasheet/19284",
"Trypanosoma equiperdum","","Full","https://www.cabi.org/isc/datasheet/60800",
"transmissible gastroenteritis virus","","Full","https://www.cabi.org/isc/datasheet/61581",
"Varanus indicus","ambon lizard","Full","https://www.cabi.org/isc/datasheet/60303",
"Salvelinus namaycush","lake trout","Full","https://www.cabi.org/isc/datasheet/65327",
"Styela plicata","pleated sea squirt","Full","https://www.cabi.org/isc/datasheet/62275",
"Sheeppox virus","","Full","https://www.cabi.org/isc/datasheet/64145",
"Rhipicephalus evertsi evertsi","","Full","https://www.cabi.org/isc/datasheet/66004",
"Rhodeus ocellatus ocellatus","rosy bitterling","Full","https://www.cabi.org/isc/datasheet/66070",
"Cylindropuntia imbricata","imbricate prickly pear","Full","https://www.cabi.org/isc/datasheet/115972",
"Cylindropuntia rosea","hudson pear","Full","https://www.cabi.org/isc/datasheet/115975",
"Austrocylindropuntia subulata","long-spine cactus","Full","https://www.cabi.org/isc/datasheet/115976",
"Pelophylax esculentus","edible frog","Full","https://www.cabi.org/isc/datasheet/110458",
"Agdestis clematidea","rockroot","Full","https://www.cabi.org/isc/datasheet/119791",
"Alternanthera halimifolia","hairy joyweed","Full","https://www.cabi.org/isc/datasheet/119792",
"Aristida ternipes","spidergrass","Full","https://www.cabi.org/isc/datasheet/119794",
"Bontia daphnoides","white alling","Full","https://www.cabi.org/isc/datasheet/119798",
"Malva pusilla","round-leaved mallow","Full","https://www.cabi.org/isc/datasheet/115483",
"Martynia annua","tiger's claw","Full","https://www.cabi.org/isc/datasheet/115499",
"Monilia polystroma","Asiatic brown rot","Full","https://www.cabi.org/isc/datasheet/34755",
"Pennisetum macrourum","African feather grass","Full","https://www.cabi.org/isc/datasheet/39768",
"Pelargonium odoratissimum","apple geranium","Full","https://www.cabi.org/isc/datasheet/116183",
"Mimosa casta","graceful mimosa","Full","https://www.cabi.org/isc/datasheet/119267",
"Urena sinuata","bur mallow","Full","https://www.cabi.org/isc/datasheet/119268",
"Malvaviscus arboreus","wax mallow","Full","https://www.cabi.org/isc/datasheet/32383",
"Mammea americana","mamey apple","Full","https://www.cabi.org/isc/datasheet/32390",
"Arceuthobium abietinum","fir dwarf mistletoe","Full","https://www.cabi.org/isc/datasheet/6823",
"Arceuthobium campylopodum","western dwarf misletoe","Full","https://www.cabi.org/isc/datasheet/6831",
"Arceuthobium douglasii","Douglas-fir dwarf mistletoe","Full","https://www.cabi.org/isc/datasheet/6834",
"Arceuthobium laricis","larch dwarf mistletoe","Full","https://www.cabi.org/isc/datasheet/6843",
"Arceuthobium minutissimum","Himalayan dwarf mistletoe","Full","https://www.cabi.org/isc/datasheet/6845",
"Arceuthobium oxycedri","juniper dwarf mistletoe","Full","https://www.cabi.org/isc/datasheet/6851",
"Arceuthobium pusillum","eastern dwarf mistletoe","Full","https://www.cabi.org/isc/datasheet/6853",
"Arceuthobium tsugense","hemlock dwarf mistletoe","Full","https://www.cabi.org/isc/datasheet/6857",
"Arceuthobium vaginatum","southwestern dwarf mistletoe","Full","https://www.cabi.org/isc/datasheet/6859",
"Olivea tectonae","teak rust","Full","https://www.cabi.org/isc/datasheet/37304",
"Lonicera confusa","","Full","https://www.cabi.org/isc/datasheet/31181",
"Acarapis woodi","honeybee mite","Full","https://www.cabi.org/isc/datasheet/2527",
"Bactrocera carambolae","carambola fruit fly","Full","https://www.cabi.org/isc/datasheet/8700",
"Bactrocera correcta","guava fruit fly","Full","https://www.cabi.org/isc/datasheet/8703",
"Bactrocera facialis","","Full","https://www.cabi.org/isc/datasheet/8710",
"Bactrocera frauenfeldi","mango fruit fly","Full","https://www.cabi.org/isc/datasheet/8712",
"Bactrocera kirki","","Full","https://www.cabi.org/isc/datasheet/8717",
"Bactrocera minax","Chinese citrus fly","Full","https://www.cabi.org/isc/datasheet/8726",
"Bactrocera neohumeralis","","Full","https://www.cabi.org/isc/datasheet/8727",
"Bactrocera passiflorae","Fijian fruit fly","Full","https://www.cabi.org/isc/datasheet/8731",
"Bactrocera psidii","South Sea guava fruit fly","Full","https://www.cabi.org/isc/datasheet/8734",
"Bactrocera umbrosa","","Full","https://www.cabi.org/isc/datasheet/8747",
"Bactrocera xanthodes","Pacific fruit fly","Full","https://www.cabi.org/isc/datasheet/8748",
"Gyrodactylus salaris","","Full","https://www.cabi.org/isc/datasheet/80813",
"Adiantum hispidulum","rosy maidenhair fern","Full","https://www.cabi.org/isc/datasheet/3236",
"Adiantum raddianum","delta maidenhair fern","Full","https://www.cabi.org/isc/datasheet/3237",
"Epinephelus striatus","nassau grouper","Full","https://www.cabi.org/isc/datasheet/83953",
"Aphelenchoides arachidis","groundnut testa nematode","Full","https://www.cabi.org/isc/datasheet/6377",
"epizootic haemorrhagic disease","","Full","https://www.cabi.org/isc/datasheet/83970",
"Borreria latifolia","broadleaf buttonweed","Full","https://www.cabi.org/isc/datasheet/9478",
"Channa punctata","spotted snakehead","Full","https://www.cabi.org/isc/datasheet/88950",
"Goatpox virus","","Full","https://www.cabi.org/isc/datasheet/81538",
"haemorrhagic septicaemia","","Full","https://www.cabi.org/isc/datasheet/85313",
"Erinaceus europaeus","European hedgehog","Full","https://www.cabi.org/isc/datasheet/84114",
"Ehrlichia ruminantium","","Full","https://www.cabi.org/isc/datasheet/87240",
"Coxiella burnetii","","Full","https://www.cabi.org/isc/datasheet/87243",
"duck hepatitis A virus","","Full","https://www.cabi.org/isc/datasheet/84185",
"Cherax cainii","smooth marron","Full","https://www.cabi.org/isc/datasheet/89136",
"Spiroplasma kunkelii","corn stunt spiroplasma","Full","https://www.cabi.org/isc/datasheet/50978",
"Trachelospermum jasminoides","star-jasmine","Full","https://www.cabi.org/isc/datasheet/52837",
"Urtica urens","annual nettle","Full","https://www.cabi.org/isc/datasheet/55913",
"Thecaphora solani","potato smut","Full","https://www.cabi.org/isc/datasheet/53508",
"Themeda quadrivalvis","grader grass","Full","https://www.cabi.org/isc/datasheet/53532",
"Xenopus laevis","African clawed frog","Full","https://www.cabi.org/isc/datasheet/59708",
"Synchytrium endobioticum","wart disease of potato","Full","https://www.cabi.org/isc/datasheet/52315",
"Synedrella nodiflora","synedrella","Full","https://www.cabi.org/isc/datasheet/52325",
"Phalaris minor","littleseed canarygrass","Full","https://www.cabi.org/isc/datasheet/55424",
"Cacoecimorpha pronubana","carnation tortrix","Full","https://www.cabi.org/isc/datasheet/54205",
"Aculops fuchsiae","Fuchsia gall mite","Full","https://www.cabi.org/isc/datasheet/56110",
"Verbena bonariensis","clusterflower vervain","Full","https://www.cabi.org/isc/datasheet/56181",
"Didemnum vexillum","carpet sea squirt","Full","https://www.cabi.org/isc/datasheet/107996",
"Culicidae","","Full","https://www.cabi.org/isc/datasheet/106720",
"Nicotiana plumbaginifolia","Tex-Mex tobacco","Full","https://www.cabi.org/isc/datasheet/109895",
"Hura crepitans","sand box","Full","https://www.cabi.org/isc/datasheet/27996",
"Helianthus ciliaris","Texas blueweed","Full","https://www.cabi.org/isc/datasheet/26715",
"Philornis downsi infestation","","Full","https://www.cabi.org/isc/datasheet/109380",
"Mytilicola orientalis infestation","oyster redworm","Full","https://www.cabi.org/isc/datasheet/109383",
"Apiognomonia erythrostoma","cherry leaf scorch","Full","https://www.cabi.org/isc/datasheet/25542",
"Eucalyptus sideroxylon","black ironbark","Full","https://www.cabi.org/isc/datasheet/22476",
"Rhopilema nomadica","nomad jellyfish","Full","https://www.cabi.org/isc/datasheet/108185",
"Clea helena","assassin snail","Full","https://www.cabi.org/isc/datasheet/108187",
"Dryocosmus kuriphilus","Oriental chestnut gall wasp","Full","https://www.cabi.org/isc/datasheet/20005",
"Dryocoetes confusus","western balsam bark beetle","Full","https://www.cabi.org/isc/datasheet/20024",
"Euglandina rosea","rosy predator snail","Full","https://www.cabi.org/isc/datasheet/23113",
"Discula destructiva","anthracnose of dogwood","Full","https://www.cabi.org/isc/datasheet/20079",
"Gymnosporangium yamadae","Japanese apple rust","Full","https://www.cabi.org/isc/datasheet/26238",
"Gymnocoronis spilanthoides","Senegal tea plant","Full","https://www.cabi.org/isc/datasheet/26246",
"Kalanchoe blossfeldiana","flaming katy","Full","https://www.cabi.org/isc/datasheet/29327",
"Gypsophila paniculata","baby’s breath","Full","https://www.cabi.org/isc/datasheet/26266",
"Gypsonoma aceriana","poplar twig borer","Full","https://www.cabi.org/isc/datasheet/26271",
"Hylobitelus xiaoi","","Full","https://www.cabi.org/isc/datasheet/28151",
"Pasteurella multocida","","Full","https://www.cabi.org/isc/datasheet/70915",
"Mylopharyngodon piceus","black amur","Full","https://www.cabi.org/isc/datasheet/73511",
"Myocastor coypus","coypu","Full","https://www.cabi.org/isc/datasheet/73537",
"Osmerus eperlanus","","Full","https://www.cabi.org/isc/datasheet/71168",
"Macaca fascicularis","crab-eating macaque","Full","https://www.cabi.org/isc/datasheet/76108",
"necrotizing hepatopancreatitis","","Full","https://www.cabi.org/isc/datasheet/73087",
"infectious bursal disease virus","","Full","https://www.cabi.org/isc/datasheet/79279",
"influenza A virus","","Full","https://www.cabi.org/isc/datasheet/79299",
"Nesticella mogera","cave-dwelling spider","Full","https://www.cabi.org/isc/datasheet/121704",
"Peromyscus fraterculus","Northern Baja deermouse","Full","https://www.cabi.org/isc/datasheet/121705",
"Indigofera trita subsp. scabra","Asian Indigo","Full","https://www.cabi.org/isc/datasheet/120555",
"Crypsis vaginiflora","African pricklegrass","Full","https://www.cabi.org/isc/datasheet/120573",
"Fimbristylis cymosa","tropical fimbry","Full","https://www.cabi.org/isc/datasheet/120575",
"Pereskia aculeata","Lemon-vine","Full","https://www.cabi.org/isc/datasheet/41750",
"Porotermes adamsoni","damp wood termite","Full","https://www.cabi.org/isc/datasheet/43633",
"Pepino mosaic virus","","Full","https://www.cabi.org/isc/datasheet/43661",
"Raphanus sativus","radish","Full","https://www.cabi.org/isc/datasheet/46796",
"Toxicodendron succedaneum","wax tree","Full","https://www.cabi.org/isc/datasheet/47426",
"Quadrastichus erythrinae","Erythrina gall wasp","Full","https://www.cabi.org/isc/datasheet/46220",
"Scutellonema bradys","yam nematode","Full","https://www.cabi.org/isc/datasheet/49315",
"Saccharum spontaneum","wild sugarcane","Full","https://www.cabi.org/isc/datasheet/48162",
"Senna didymobotrya","African senna","Full","https://www.cabi.org/isc/datasheet/20060234",
"Theileria","","Full","https://www.cabi.org/isc/datasheet/96673",
"Alopochen aegyptiaca","Egyptian goose","Full","https://www.cabi.org/isc/datasheet/94205",
"equine arteritis virus","","Full","https://www.cabi.org/isc/datasheet/96112",
"equine influenzavirus","","Full","https://www.cabi.org/isc/datasheet/96122",
"Cordyline fruticosa","ti plant","Full","https://www.cabi.org/isc/datasheet/11866",
"Colubrina asiatica","latherleaf","Full","https://www.cabi.org/isc/datasheet/14960",
"Commelina benghalensis","wandering jew","Full","https://www.cabi.org/isc/datasheet/14977",
"Commelina diffusa","spreading dayflower","Full","https://www.cabi.org/isc/datasheet/14979",
"Ctenarytaina spatulata","","Full","https://www.cabi.org/isc/datasheet/16823",
"Cacyreus marshalli","pelargonium butterfly","Full","https://www.cabi.org/isc/datasheet/10683",
"Calotropis gigantea","Yercum fibre","Full","https://www.cabi.org/isc/datasheet/16847",
"Claviceps gigantea","horse's tooth","Full","https://www.cabi.org/isc/datasheet/13789",
"Copaifera officinalis","copaiba balsam","Full","https://www.cabi.org/isc/datasheet/15674",
"Cannabis sativa","hemp","Full","https://www.cabi.org/isc/datasheet/14497",
"Brugmansia candida","angel's trumpet","Full","https://www.cabi.org/isc/datasheet/10133",
"Chrysomyxa abietis","needle rust of fir","Full","https://www.cabi.org/isc/datasheet/13247",
"Brevipalpus chilensis","Chilean false red mite","Full","https://www.cabi.org/isc/datasheet/10173",
"Brevipalpus lewisi","citrus flat mite","Full","https://www.cabi.org/isc/datasheet/10175",
"Chrysomyxa himalensis","needle rust of spruce","Full","https://www.cabi.org/isc/datasheet/13253",
"Erigeron bellioides","bellorita","Full","https://www.cabi.org/isc/datasheet/42555823",
"Centaurea macrocephala","giant knapweed","Full","https://www.cabi.org/isc/datasheet/12041",
"Cucurbit yellow stunting disorder virus","","Full","https://www.cabi.org/isc/datasheet/17070",
"Rattus tanezumi","Asian house rat","Full","https://www.cabi.org/isc/datasheet/66732",
"red sea bream iridoviral disease","","Full","https://www.cabi.org/isc/datasheet/66796",
"Pimephales vigilax","bullhead minnow","Full","https://www.cabi.org/isc/datasheet/69891",
"pullorum disease","","Full","https://www.cabi.org/isc/datasheet/67428",
"Ipomoea ochracea","fence morning-glory","Full","https://www.cabi.org/isc/datasheet/114969",
"Cyclanthera pedata","","Full","https://www.cabi.org/isc/datasheet/113710",
"Cynoglossum amabile","Chinese forget-me-not","Full","https://www.cabi.org/isc/datasheet/113725",
"Salvia coccinea","scarlet sage","Full","https://www.cabi.org/isc/datasheet/116872",
"Salvia leucantha","Mexican bush sage","Full","https://www.cabi.org/isc/datasheet/116877",
"Schmallenberg disease","","Full","https://www.cabi.org/isc/datasheet/118798",
"Lymantria mathura","pink gypsy moth","Full","https://www.cabi.org/isc/datasheet/31809",
"Filago gallica","narrowleaf cottonrose","Full","https://www.cabi.org/isc/datasheet/114401",
"Tradescantia pallida","purple queen","Full","https://www.cabi.org/isc/datasheet/117574",
"Chenopodium capitatum","strawberry blite","Full","https://www.cabi.org/isc/datasheet/113218",
"Ochropsora ariae","","Full","https://www.cabi.org/isc/datasheet/36849",
"Pileolaria berkeleyana","","Full","https://www.cabi.org/isc/datasheet/116344",
"Sesbania sericea","silky sesban","Full","https://www.cabi.org/isc/datasheet/119439",
"Costus spicatus","spiked spiralflag ginger","Full","https://www.cabi.org/isc/datasheet/119443",
"Thelypteris opulenta","jewelled maiden fern","Full","https://www.cabi.org/isc/datasheet/119452",
"Marsilea minuta","pepperwort","Full","https://www.cabi.org/isc/datasheet/32557",
"Myzus cerasi","black cherry aphid","Full","https://www.cabi.org/isc/datasheet/35634",
"Candidatus Phytoplasma pini","pine witches'-broom phytoplasma","Full","https://www.cabi.org/isc/datasheet/118203",
"Cuphea hyssopifolia","false heather","Full","https://www.cabi.org/isc/datasheet/118210",
"Melissococcus plutonius","","Full","https://www.cabi.org/isc/datasheet/34446",
"Aonidiella orientalis","oriental yellow scale","Full","https://www.cabi.org/isc/datasheet/5852",
"Meloidogyne acronea","African cotton root nematode","Full","https://www.cabi.org/isc/datasheet/33232",
"Meloidogyne decalineata","African coffee root-knot nematode","Full","https://www.cabi.org/isc/datasheet/33237",
"Meloidogyne fallax","false Columbia root-knot nematode","Full","https://www.cabi.org/isc/datasheet/33241",
"Meloidogyne mayaguensis","","Full","https://www.cabi.org/isc/datasheet/33248",
"Aeolesthes sarta","city longhorn beetle","Full","https://www.cabi.org/isc/datasheet/3430",
"Aethina tumida","","Full","https://www.cabi.org/isc/datasheet/3459",
"Botryotinia porri","Botrytis rot of garlic","Full","https://www.cabi.org/isc/datasheet/9610",
"Bougainvillea spectabilis","Bougainvilla","Full","https://www.cabi.org/isc/datasheet/9640",
"Urochloa decumbens","signal grass","Full","https://www.cabi.org/isc/datasheet/9665",
"Acacia karroo","sweet thorn","Full","https://www.cabi.org/isc/datasheet/2289",
"Barringtonia asiatica","sea poison tree","Full","https://www.cabi.org/isc/datasheet/8468",
"Vernicia fordii","tung-oil tree","Full","https://www.cabi.org/isc/datasheet/4122",
"Aleurodicus destructor","coconut whitefly","Full","https://www.cabi.org/isc/datasheet/4140",
"Asclepias syriaca","common milkweed","Full","https://www.cabi.org/isc/datasheet/7249",
"Bryophyllum fedtschenkoi","lavender-scallops","Full","https://www.cabi.org/isc/datasheet/17036060",
"Cercopagis pengoi","fishhook waterflea","Full","https://www.cabi.org/isc/datasheet/89859",
"Clarias batrachus","walking catfish","Full","https://www.cabi.org/isc/datasheet/88681",
"Edwardsiella tarda","","Full","https://www.cabi.org/isc/datasheet/84399",
"Chondrus crispus","carrageen","Full","https://www.cabi.org/isc/datasheet/89386",
"Copsychus malabaricus","White-rumped Shama","Full","https://www.cabi.org/isc/datasheet/88140",
"Calliandra houstoniana","calliandra","Full","https://www.cabi.org/isc/datasheet/52736165",
"Triumfetta semitriloba","burweed","Full","https://www.cabi.org/isc/datasheet/54905",
"Trioza erytreae","African citrus psyllid","Full","https://www.cabi.org/isc/datasheet/54914",
"Striga aspera","witchweed","Full","https://www.cabi.org/isc/datasheet/51848",
"infectious hypodermal and haematopoietic necrosis","","Full","https://www.cabi.org/isc/datasheet/59940",
"infectious salmon anemia virus","","Full","https://www.cabi.org/isc/datasheet/59942",
"Tabebuia heterophylla","pink trumpet tree","Full","https://www.cabi.org/isc/datasheet/52567",
"Unaspis citri","citrus snow scale","Full","https://www.cabi.org/isc/datasheet/55685",
"Stachytarpheta jamaicensis","Jamaica vervain","Full","https://www.cabi.org/isc/datasheet/51364",
"Tribulus cistoides","false puncture vine","Full","https://www.cabi.org/isc/datasheet/54446",
"Tephrosia vogelii","Vogel's tephrosia","Full","https://www.cabi.org/isc/datasheet/53249",
"visna/maedi virus","","Full","https://www.cabi.org/isc/datasheet/59452",
"Brenneria salicis","watermark","Full","https://www.cabi.org/isc/datasheet/21936",
"Elaeagnus pungens","thorny olive","Full","https://www.cabi.org/isc/datasheet/20725",
"Elsino&#235; australis","citrus scab","Full","https://www.cabi.org/isc/datasheet/20774",
"acarapisosis of honey bees","","Full","https://www.cabi.org/isc/datasheet/109535",
"Tropilaelaps infestation of honey bees","","Full","https://www.cabi.org/isc/datasheet/109538",
"Paenibacillus larvae","","Full","https://www.cabi.org/isc/datasheet/109548",
"Xenohaliotis californiensis infection","","Full","https://www.cabi.org/isc/datasheet/109549",
"Pseudochattonella verruculosa","","Full","https://www.cabi.org/isc/datasheet/108305",
"Hovenia dulcis","","Full","https://www.cabi.org/isc/datasheet/27697",
"Hamaspora longissima","","Full","https://www.cabi.org/isc/datasheet/26427",
"Kuehneola japonica","","Full","https://www.cabi.org/isc/datasheet/29554",
"Kunzea ericoides","kanuka","Full","https://www.cabi.org/isc/datasheet/29565",
"Tricellaria inopinata","","Full","https://www.cabi.org/isc/datasheet/109093",
"Diplosoma listerianum","","Full","https://www.cabi.org/isc/datasheet/109099",
"Jasminum sambac","Arabian jasmine","Full","https://www.cabi.org/isc/datasheet/28388",
"Mytilus galloprovincialis","Mediterranean mussel","Full","https://www.cabi.org/isc/datasheet/73756",
"Mytilicola orientalis","oyster redworm","Full","https://www.cabi.org/isc/datasheet/73766",
"Mustela furo","ferret","Full","https://www.cabi.org/isc/datasheet/74424",
"Oxyura jamaicensis","ruddy duck","Full","https://www.cabi.org/isc/datasheet/71368",
"atypical non-progressive proliferative pneumonia","","Full","https://www.cabi.org/isc/datasheet/74493",
"Mycobacterium avium subspecies paratuberculosis","","Full","https://www.cabi.org/isc/datasheet/74496",
"peste des petits ruminants virus","","Full","https://www.cabi.org/isc/datasheet/70165",
"Marteilia refringens","","Full","https://www.cabi.org/isc/datasheet/76368",
"Isometrus maculatus","lesser brown scorpion","Full","https://www.cabi.org/isc/datasheet/78223",
"Magnaporthe oryzae Triticum pathotype","wheat blast","Full","https://www.cabi.org/isc/datasheet/121970",
"Obama nungara","","Full","https://www.cabi.org/isc/datasheet/121981",
"Trioceros jacksonii","Jackson’s chameleon","Full","https://www.cabi.org/isc/datasheet/120726",
"Zachrysia provisoria","Cuban brown snail","Full","https://www.cabi.org/isc/datasheet/120728",
"bovine babesiosis","","Full","https://www.cabi.org/isc/datasheet/121449",
"Tapinoma minutum","dwarf pedicel ant","Full","https://www.cabi.org/isc/datasheet/121450",
"Heterotis rotundifolia","pink lady","Full","https://www.cabi.org/isc/datasheet/120226",
"Sanchezia parvibracteata","sanchezia","Full","https://www.cabi.org/isc/datasheet/120290",
"Pratylenchus goodeyi","banana lesion nematode","Full","https://www.cabi.org/isc/datasheet/43897",
"Ptychosperma macarthurii","Macarthur palm","Full","https://www.cabi.org/isc/datasheet/45714",
"Puccinia buxi","","Full","https://www.cabi.org/isc/datasheet/45752",
"Polygonum barbatum","knot grass","Full","https://www.cabi.org/isc/datasheet/42686",
"Polygonum hydropiper","marsh pepper","Full","https://www.cabi.org/isc/datasheet/42688",
"Polygonum nepalense","Nepal persicaria","Full","https://www.cabi.org/isc/datasheet/42690",
"Puccinia gladioli","","Full","https://www.cabi.org/isc/datasheet/45793",
"Senna bicapsularis","Christmas bush","Full","https://www.cabi.org/isc/datasheet/49586",
"Sapium sebiferum","Chinese tallow tree","Full","https://www.cabi.org/isc/datasheet/48351",
"Sciurus carolinensis","grey squirrel","Full","https://www.cabi.org/isc/datasheet/49075",
"Bacillus anthracis","","Full","https://www.cabi.org/isc/datasheet/91844",
"Trichinella","","Full","https://www.cabi.org/isc/datasheet/96878",
"Callinectes sapidus","blue crab","Full","https://www.cabi.org/isc/datasheet/90126",
"Sitophilus granarius","grain weevil","Full","https://www.cabi.org/isc/datasheet/10850",
"Digitaria longiflora","false couch grass","Full","https://www.cabi.org/isc/datasheet/18915",
"Digitaria abyssinica","East African couchgrass","Full","https://www.cabi.org/isc/datasheet/18917",
"Digitaria velutina","velvet fingergrass","Full","https://www.cabi.org/isc/datasheet/18919",
"Coccinia grandis","scarlet-fruited ivy gourd","Full","https://www.cabi.org/isc/datasheet/14659",
"Dalbergia melanoxylon","African blackwood","Full","https://www.cabi.org/isc/datasheet/17783",
"Citrus aurantiifolia","lime","Full","https://www.cabi.org/isc/datasheet/13438",
"Liberibacter africanus","African greening","Full","https://www.cabi.org/isc/datasheet/16564",
"Liberibacter americanus","American greening","Full","https://www.cabi.org/isc/datasheet/16566",
"Dovyalis caffra","kei apple","Full","https://www.cabi.org/isc/datasheet/19648",
"Cordia obliqua","clammy cherry","Full","https://www.cabi.org/isc/datasheet/15395",
"Calophyllum inophyllum","Alexandrian laurel","Full","https://www.cabi.org/isc/datasheet/14124",
"Chelonia mydas","green sea turtle","Full","https://www.cabi.org/isc/datasheet/61927",
"trypanosomosis in marine fish","","Full","https://www.cabi.org/isc/datasheet/60776",
"Trichosurus vulpecula","brushtail possum","Full","https://www.cabi.org/isc/datasheet/61405",
"infection with Marteilia sydneyi","","Full","https://www.cabi.org/isc/datasheet/66454",
"rabbit haemorrhagic disease","","Full","https://www.cabi.org/isc/datasheet/66455",
"Theileria annulata","","Full","https://www.cabi.org/isc/datasheet/62106",
"Oncorhynchus apache","apache trout","Full","https://www.cabi.org/isc/datasheet/65294",
